author_id,type,titre,annee,venue_raw,auteurs,rank
1,conference,Dealing with Plethoric Answers of SPARQL Queries.,2021,DEXA (1),Louise Parkin | Brice Chardin | Stéphane Jean | Allel Hadjali | Mickaël Baron,C
1,conference,Towards a Unified Framework for Computational Trust and Reputation Models for e-Commerce Applications.,2021,RCIS,Chayma Sellami | Mickaël Baron | Mounir Bechchi | Allel Hadjali | Stéphane Jean | Dominique Chabot,B
12,conference,An unfair optimal scheduling algorithm for uniform multiprocessors.,2025,ETFA,Thomas Gaspard | Antoine Bertout | Pascal Richard | Joël Goossens | Emmanuel Grolleau,TBR
12,conference,Fault Current Limitation Constraint for the Distribution Network Reconfiguration Problem in Medium Voltage Compensated Distribution Networks.,2024,ISGT,Aghyles Graine | Nour Karnib | Jean-Paul Gaubert | Antoine Bertout | Emmanuel Grolleau | Didier Larraillet,none
12,conference,A Dynamic Approach for the Distribution Network Reconfiguration Problem.,2024,ISGT,Aghyles Graine | Nour Karnib | Emmanuel Grolleau | Antoine Bertout | Jean-Paul Gaubert | Didier Larraillet,none
12,conference,Distributed Generation Curtailment for Maintaining Voltage Stability.,2024,ISGT Asia,Nour Karnib | Aghyles Graine | Emmanuel Grolleau | Antoine Bertout | Jean-Paul Gaubert,none
12,journal,Easing the tuning of drone autopilots through a model-based framework.,2023,J. Comput. Lang.,Soulimane Kamni | Antoine Bertout | Emmanuel Grolleau | Gautier Hattenberger | Yassine Ouhammou,NC
12,conference,A Mixed Integer Linear Programming Model for the Distribution Network Reconfiguration Problem.,2023,ICSC,Aghyles Graine | Nour Karnib | Jean-Paul Gaubert | Antoine Bertout | Emmanuel Grolleau | Didier Larraillet,none
12,conference,A Network Reduction Method for the Distribution Network Reconfiguration Problem.,2023,ISGT EUROPE,Aghyles Graine | Nour Karnib | Emmanuel Grolleau | Antoine Bertout | Jean-Paul Gaubert | Didier Larraillet,none
12,journal,Workload assignment for global real-time scheduling on unrelated clustered platforms.,2022,Real Time Syst.,Antoine Bertout | Joël Goossens | Emmanuel Grolleau | Roy Jamil | Xavier Poczekajlo,NC
12,conference,Latency analysis of self-suspending task chains.,2022,DATE,Tomasz Kloda | Jiyang Chen | Antoine Bertout | Lui Sha | Marco Caccamo,B
12,conference,A Reverse Design Framework for Modifiable-off-the-Shelf Embedded Systems: Application to Open-Source Autopilots.,2022,MEDI,Soulimane Kamni | Yassine Ouhammou | Emmanuel Grolleau | Antoine Bertout | Gautier Hattenberger,C
3,journal,A temporal dependency preserving approach for anomaly detection on multivariate time series.,2025,World Wide Web (WWW),Seif-Eddine Benkabou | Khalid Benabdeslem | Dou El Kefel Mansouri | Souleyman Chaib | Amin Mesmoudi | Allel Hadjali,NC
3,journal,Bridging machine learning and query optimization: Feedback-driven selectivity estimation for spatial filters.,2025,World Wide Web (WWW),Nadir Guermoudi | Houcine Matallah | Amin Mesmoudi | Seif-Eddine Benkabou | Allel Hadjali | Ahmed Youcef Benhalima,NC
3,journal,mFILS: Tri-Selection via Convex and Nonconvex Regularizations.,2024,IEEE Trans. Neural Networks Learn. Syst.,Dou El Kefel Mansouri | Khalid Benabdeslem | Seif-Eddine Benkabou | Souleyman Chaib | Mohamed Chohri,NC
3,conference,Selectivity Estimation for Spatial Filters Using Optimizer Feedback: A Machine Learning Perspective.,2024,WISE (4),Nadir Guermoudi | Houcine Matallah | Amin Mesmoudi | Seif-Eddine Benkabou | Allel Hadjali,B
3,journal,SRDF_QDAG: An efficient end-to-end RDF data management when graph exploration meets spatial processing.,2023,Comput. Sci. Inf. Syst.,Houssameddine Yousfi | Amin Mesmoudi | Allel Hadjali | Houcine Matallah | Seif-Eddine Benkabou,NC
3,journal,CoSP: co-selection pick for a global explainability of black box machine learning models.,2023,World Wide Web (WWW),Dou El Kefel Mansouri | Seif-Eddine Benkabou | Khoula Meddahi | Allel Hadjali | Amin Mesmoudi | Khalid Benabdeslem | Souleyman Chaib,NC
3,conference,RSMS: Robust Semi-supervised Multi-label Feature Selection for Regression.,2023,ICTAI,Vivien Kraus | Khalid Benabdeslem | Seif-Eddine Benkabou | Dou El Kefel Mansouri | Bruno Canitia,B
